Name, Meaning, Name, Meaning
大理花,善變定‧華麗,Dahlia,mercurial given ‧ gorgeous
大理菊,感謝,Dali Chrysanthemum,Thanks
小蒼蘭,純真‧無邪,Freesia,pure ‧ innocent
山茶花,謹慎‧了不起的魅力‧理想的愛‧謙讓,Camellia,Cautious ‧ ‧ great charm ideal love ‧ humility
天竺葵,愛情,Geranium,Love
天堂鳥,為戀愛打扮得漂漂亮亮的男子,Bird of Paradise,Love dress up for men
太陽花,神秘,Sunflower,Mystery
孔雀草,總是興高采烈,Maidenhair,Always elated
文竹,永恆,Asparagus,Eternal
文心蘭,隱藏的愛,Oncidium,Hidden Love
月桂花,榮譽,Osmanthus month,Honor
水仙,尊敬‧高潔‧驕傲‧冷淡,Narcissus,Dear noble ‧ ‧ ‧ proud indifference
水竽,宏偉的美,Water yu,the magnificent beauty
火炎花,頑強,Huo flowers,tenacious
火花蘭,忘不了的人,Sparks Lan,never forget
火鶴花,新婚‧熱情‧煩惱,Anthurium,wedding ‧ ‧ enthusiasm trouble
仙客萊,羞怯,Cents off Levin,shyness
卡特麗亞,美人,Carter Maria,Beauty
瓜葉菊,持久的喜悅‧長久的光輝,Cineraria,‧ long lasting joy shining
白菊,君子,Shiragiku,Gentlemen
白山,真情,Hakusan,truth
白頭翁,日漸淡薄的愛,Pulsatilla,increasingly weak love
矢車菊,雅緻,Cornflower,elegant
石竹,純潔的愛,Carnation,pure love
石蒜,剛健,Lycoris,energetic
石斛蘭,任性美人,Dendrobium,headstrong beauty
向日葵,愛慕‧崇拜‧仰慕,Sunflower,love ‧ ‧ admirers worship
百日紅,雄辯,Hundred Days Red,eloquent
百日草,強健,Zinnia,robust
百合花,純潔‧純潔的心‧百年好合‧偉大的愛,Lily,pure pure heart ‧ ‧ ‧ great love Bainianhaoge
羽扇豆,空想,Lupine,fantasy
忍冬,愛的牽絆‧奉獻的愛,Honeysuckle,Love to tie him down ‧ giving love
杏花,猜疑,Apricot,suspicion
杜鵑花,節制‧溫和,Azalea,‧ mild restraint
牡丹花,富貴,Peony,Wealth
秀球花(紫陽花),高潔‧善變‧驕傲的傢伙‧你很冷淡,Show cones (hydrangea),noble fickle ‧ ‧ ‧ proud of you very cool guy
夜來香的花語,危險的快樂,Tuberose florid,Happy dangerous
孤挺花,喋喋不休,Amaryllis,chatter
波斯菊,永遠快樂‧少女的純潔與愛情‧少女的真心,Cosmos,always happy ‧ ‧ girls pure and sincere love girls
玫瑰花,相愛‧高貴‧愛情1166416595_0.jpg,Rose,Love ‧ ‧ noble love 1166416595_0.jpg
芙蓉花,精美,Hibiscus,fine
金針花,歡樂‧忘憂,Daylily,Happy ‧ lotus
金魚草,多嘴‧好管閒事,Snapdragon,talkative ‧ nosy
金魚草,多嘴‧好管閒事,Snapdragon,talkative ‧ nosy
金盞花,離別‧迷戀‧財富,Calendula,Parting ‧ ‧ wealth obsession
非洲堇,微小的愛,African violet,Tiny Love
非洲菊,崇高之美‧神祕‧謎樣的美,Gerbera,sublime beauty ‧ ‧ mysterious enigmatic beauty
春石斛,任性美人,Dendrobium nobile,headstrong beauty
星辰花,勿忘我‧驚奇‧不變的心,Stars flowers,forget-me surprised ‧ ‧ constant heart
洋桔梗,警戒、小心,Lisianthus	alert	 careful,
洋蘇草,熱烈的思念,Sage,warm thoughts
秋石斛,迷惑,Autumn Dendrobium,confused
紅番花,等待著你,Red Fan Flower,waiting for you
美人蕉,堅實的未來,Canna,solid future
茉莉花,官能的‧你是我的,Jasmine,functional ‧ You are my
風信子,恆心,Hyacinth,perseverance
風信子,歡喜,Hyacinth,joy
飛燕草,關愛別人,Delphinium,love others
香水百合,偉大的愛,Lily,great love
姬百合,快樂‧榮譽,Ji Lily,Happy ‧ Honor
桂花,吸入你(妳)的氣息,Osmanthus,Inhalation you (you) breath
橘梗,不變的愛‧誠實‧順從‧豐饒,Orange Terrier,constant love obedience ‧ ‧ ‧ honest rich
桃花,輕佻,Peach,frivolous
蒲公英,別離‧裝模作樣,Dandelion,parting ‧ bumbling
海芋,宏偉的美‧潔淨,Calla lilies,the magnificent beauty ‧ clean
胭脂花,膽小‧怯懦,Rouge flowers,timid ‧ cowardice
茴香,力量‧值得讚賞,Fennel,Strength ‧ laudable
匙葉草,驚訝‧玩笑的心,Spoon leaf grass,surprise ‧ joke heart
康乃馨,親情‧思念‧母愛‧熱戀,Carnation,motherly affection ‧ ‧ ‧ love miss
敗醬,美女‧靠不住的戀情,Patrina,beauty ‧ wonky affair
梅花,堅忍,Plum,Perseverance
梨花,愛情,Pear,Love
牽牛花,愛情永固‧愛情‧平靜‧虛幻渺茫的戀愛,Morning Glory,Love Everlasting Love ‧ ‧ ‧ illusory calm forlorn love
甜豌豆,出發,Sweet Pea,Departure
陸蓮花,有魅力的富翁,Lu Lotus,charismatic millionaire
雪花蓮,希望,Snowdrop,Hope
棕櫚,勝利,Palm,Victory
番紅花,快樂‧喜悅,Saffron,Happy ‧ joy
紫苑,懷念‧思念遠方的人,Aster,thoughts from afar who miss ‧
紫丁香,羞怯,Lilac,shyness
紫花地丁花語：誠實,Viola florid,honesty,
紫羅蘭,永恆之美‧貞節‧誠實‧謙讓‧永續的美,Violet,Chastity eternal beauty ‧ ‧ ‧ honest humility ‧ sustainable America
菊花,真愛‧高潔．高尚．清高．隱逸,Chrysanthemum,‧ noble love. Noble. GAO. Seclusion
黑百合,戀‧詛咒,Black Lily,Love ‧ Curse
菖蒲,仰慕的‧神秘的人,Iris,‧ admired the mysterious man
愛麗絲,穩重‧愛的信息‧愛的留言‧使者‧善變,Alice,Message steady ‧ ‧ ‧ messenger message of love Love ‧ fickle
瑞香(沈丁)的花語：光榮‧不滅,Daphne (Shen Ding) florid,‧ immortal glory,
萬壽菊,嫉妒,Marigold,Jealousy
聖誕紅,我的心正在燃燒‧祝福,Christmas Red,My heart is burning ‧ blessing
聖誕薔薇花語：不要讓我擔心,Christmas Rose florid,Do not make me worry,
萱草,隱藏起來的心情,Hemerocallis,hidden passions
蜀葵,野心,Hollyhock,Ambition
鈴蘭,純潔‧幸福的到來,Lily of the Valley,the arrival of pure happiness ‧
嘉德利亞蘭花語：貴婦人,Skinneri florid,Lady,
滿天星,喜悅‧愛憐,Stars,joy ‧ lovingly
瑪格麗特,情人的愛‧預言戀愛,Margaret,Valentine love love ‧ prophecy
睡蓮,清雅,Water lilies,elegant
翠菊,擔心你的愛‧我的愛比你的深,Aster,‧ worry about your love more than you love me deep
銀蓮花,漸漸淡薄的愛‧期待‧被拋棄,Anemone,love getting weak ‧ ‧ expect to be abandoned
劍蘭(康菖)的花語：用心‧堅固‧幽會‧祕密約會,Gladiolus (Kang-chang) florid,Rugged intentions ‧ ‧ ‧ secret tryst dating,
歐石楠,孤獨‧背叛,Heather,Lonely ‧ betrayal
蓮花,默戀,Lotus,Mo Love
蝴蝶蘭,幸福漸近,Phalaenopsis,Happiness asymptotic
槴子花,我很幸福．清潔,Hu MICONIOIDES,I am very happy. Cleaning
橙花的花語,清麗,Neroli florid,Elegant
橄欖,和平,Olive,Peace
燕子花(杜)的花語：幸運必然會到來,Swallow Flowers (DU) florid,Lucky definitely coming,
龍膽花,在你傷心時我尤其愛你,Gentian flowers,especially when you're sad I love you
薄雪草(火絨草)的花語：重要的回憶,Thin snow grass (edelweiss) florid,Important Memories,
蕾絲花,惹人憐愛,Lace Flower,adorable
薔薇花,愛情．愛．戀情,Roses,love. Love. Romance
薊(刺兒草)的花語：獨立‧嚴格‧厭世‧報復,Thistle (Cirsium grass) florid,Independent weary ‧ ‧ ‧ strict retaliation,
雛菊,靈巧,Daisy,smart
雞冠花,愛美、矯情,Cockscomb	beauty	 hypocritical,
罌栗花,多謝,Poppy,Thank you
櫻花,對你微笑‧精神美‧善良的教育,Sakura,spiritual beauty to your smile ‧ ‧ kind of education
櫻草,年輕時代與悲傷,Primrose,young age and sorrow
鐵線蓮,高潔‧美麗的心,Clematis,noble ‧ beautiful heart
鷺鷥草,連夢中也思唸著你,Egrets grass,also miss you even dream
鬱金香,愛之寓言‧博愛‧名聲‧愛‧愛的頃訴,Tulip,Allegory of Love fame ‧ ‧ ‧ love love love are v ‧
